sentence,true_label,predicted
You bit the hand that fed you.,eng,spa
The photo catches the tension in the court very well.,eng,spa
Tom found a way to get it done.,eng,spa
Your skirt is out of fashion.,eng,spa
Tom would've done that if he'd had the chance to.,eng,spa
Stop making a fool of yourself.,eng,spa
We saw cows grazing in the meadow.,eng,spa
He carried out all his aims.,eng,spa
How many beers did you drink?,eng,eng
I think Tom might cry.,eng,spa
No estoy aquí por diversión.,spa,spa
His letter makes me uneasy.,eng,spa
Tom and Mary said they wouldn't mind waiting for us.,eng,spa
Se asume que la temperatura de la superficie solar es de aproximadamente 6000℃.,spa,spa
No soy materialista.,spa,spa
Tu respuesta nos es lo que sea menos satisfactoria.,spa,spa
La niebla se espesó rápidamente.,spa,spa
Tom and Mary said that they were really discouraged.,eng,spa
My horse likes apples.,eng,spa
La asamblea ha sido anulada por causa del tifón.,spa,spa
"You don't think that's going to happen, do you?",eng,eng
¿Cómo está tu familia?,spa,eng
Tu respuesta es incorrecta.,spa,spa
We decided not to do that.,eng,spa
Creo que estoy enamorada de él.,spa,spa
Tuve que decirle a Tom.,spa,spa
Estaba internado en el hospital.,spa,spa
¿Quién hizo el mono de nieve?,spa,eng
Come on over.,eng,spa
A ellos les gusta orar de pie en las sinagogas.,spa,spa
Tom said that he didn't want to go skiing with Mary.,eng,spa
Mi amigo tuvo ayer un examen muy importante.,spa,spa
Tom no pudo hacerse escuchar.,spa,spa
Tom won't be permitted to do that again.,eng,spa
Tom rompió tres platos.,spa,spa
Tom and Mary couldn't be happier.,eng,spa
Las paperas son una enfermedad contagiosa.,spa,spa
I'm glad that's settled.,eng,spa
Me faltan dos meses para que me saquen la ortodoncia.,spa,spa
¿Por casualidad conoce al profesor Brown?,spa,eng
Él es una persona muy agradable.,spa,spa
Who broke the plate?,eng,eng
Vos construiste una casa de madera.,spa,spa
He was in a hurry to see his father.,eng,spa
Mi hija está profundamente dormida.,spa,spa
Lo que tenemos es suficiente.,spa,spa
It won't be long before the trees are bare.,eng,spa
"¡Paren de jugar y bailen correctamente, chicas!",spa,spa
¡Maldito truhan! ¿De verdad creías que me ibas a engañar?,spa,eng
"Tom quiere que Oliver aprenda a boxear, pero María opina que es demasiado peligroso.",spa,spa
Fuí al aeropuerto para recibir a mi padre.,spa,spa
El subte estaba tan lleno que había unas cinco personas por metro cuadrado.,spa,spa
Los perros guías ayudan a la gente ciega.,spa,spa
A Jack le interesa la pintura.,spa,spa
Tom va a la escuela a pie.,spa,spa
Las chicas están locas.,spa,spa
"Don't use ""discover"" when you mean ""invent"".",eng,spa
Yo había esperado que la revista conectara a toda clase de gente - para que cualquiera pudiese entender cuánto más interesante era ahorrar que comprar nueva basura.,spa,spa
I'm really glad to have met you and that we became friends.,eng,spa
I really like this skirt. Can I try it on?,eng,eng
I never work on Sunday.,eng,spa
Los vimos.,spa,spa
You can't keep me from doing that.,eng,spa
My shoulder hurts.,eng,spa
La compañía aceptó su solicitud.,spa,spa
Tómate una taza de leche. Te hará bien.,spa,spa
Yo creo que aún vivimos en la oscura edad media.,spa,spa
Sami asked Layla to send him pictures.,eng,spa
Mary said she thought she knew what had caused the accident.,eng,spa
I hate your cooking.,eng,spa
This bird can fly.,eng,spa
You should be careful about your health.,eng,spa
La suya es una competitividad un tanto patológica.,spa,spa
I wonder if Tom wants to do that.,eng,spa
Did you have pleasant dreams?,eng,eng
I don't know where exactly.,eng,spa
Me espero lo peor.,spa,spa
La situación política ha cambiado.,spa,spa
Let Tom know what you plan to do.,eng,spa
Tom said that it was an exciting game.,eng,spa
No frenes de repente.,spa,spa
You're an ignorant fool.,eng,spa
Una buena obra alumbra a un mundo oscuro.,spa,spa
The housing project has fallen flat.,eng,spa
I don't think that it's important.,eng,spa
He elbowed me in the ribs.,eng,spa
Eso sería poner el carro delante de los caballos.,spa,spa
You're the one I need now.,eng,spa
She has her toes in the water.,eng,spa
Lo que no quieras que sepa no lo cuentes.,spa,spa
No me siento bien y preferiría quedarme en casa hoy.,spa,spa
I sell umbrellas.,eng,spa
Hadn't we better be going soon?,eng,eng
Hay quienes viven su afición con más devoción que si fuera una religión.,spa,spa
I'm sorry you've been badly injured.,eng,spa
"Me preguntaron, ""¿Estás bien, muchacho?"". Yo respondí, ""Estoy bien.""",spa,spa
Poland is a big country.,eng,spa
I hoped that I would marry while my mother was still alive.,eng,spa
There's nothing more to drink.,eng,spa
"Once you are married, you are done for.",eng,spa
Mary told us she'd do that again.,eng,spa
Tom was in the center of the room.,eng,spa
Tom never felt sorry for himself.,eng,spa
¿Sabes qué quiero decir?,spa,eng
"I like that university, but it's too near my home.",eng,spa
"Bebo, dijo él, ""por las personas enterradas que descansan a nuestro alrededor."" ""Y yo por tu larga vida.""",spa,spa
"A este lugar lo llamaban ""la fosa de la muerte"", y yo no estoy para nada interesado en saber el porqué.",spa,spa
Are Tom and Mary finished eating?,eng,eng
Spain's game has been desperate.,spa,spa
Adoro el amor.,spa,spa
Tom ignora lo que ha ocurrido.,spa,spa
Fue el mejor día de mi vida.,spa,spa
Traza un círculo.,spa,spa
Dame tres tizas.,spa,spa
Tom le preguntó a Mary si él podía tomar prestada su bicicleta.,spa,spa
"Tom said that he wasn't interested in Mary, but he seemed to always be looking towards the side of the room where she was.",eng,spa
Alguien me robó el secador de cabello.,spa,spa
You should be more careful at a crosswalk.,eng,spa
We all know it.,eng,spa
Mary says she knows Tom won't do that.,eng,spa
Te echo muchísimo de menos.,spa,spa
Lo haré como me has enseñado.,spa,spa
Peleo casi todos los días.,spa,spa
Preferiría no hacerlo.,spa,spa
We're looking forward to seeing you in Boston.,eng,spa
Esto es cosa tuya.,spa,spa
"Welcome to my house, finally.",eng,spa
No quiero comerme esto.,spa,spa
No puede asistir a clase porque está enferma.,spa,spa
Nunca dije que fuéramos canadienses.,spa,spa
La niñita es zurda.,spa,spa
Él quedó satisfecho.,spa,spa
Tom came back a little after lunch.,eng,spa
I wasn't able to rent a car.,eng,spa
Sami and Layla hit the year mark.,eng,spa
Hoy es el cumpleaños de mi mejor amigo.,spa,spa
"Nacemos de una sola manera, pero morimos de muchas.",spa,spa
Tom esperaba salir temprano pero se durmió.,spa,spa
"When I was young, the hippest thing a kid could own was a transistor radio.",eng,spa
They told us they couldn't win.,eng,spa
Tom does look really tired.,eng,spa
They dyed their hair.,eng,spa
El libro de Marc es muy interesante.,spa,spa
"El proyecto, financiado por el Gobierno americano, costó alrededor de $4 millones.",spa,spa
No me costó encontrar su oficina.,spa,spa
Sami doesn't have sixty bucks.,eng,spa
Teach me how to make a salad.,eng,spa
Sé que usted es maestro.,spa,spa
You're hardly ever here anymore.,eng,spa
Send this by airmail.,eng,spa
Come on any day you like.,eng,spa
I haven't studied that much!,eng,spa
Soy bueno en historia.,spa,spa
"Will you go, too?",eng,eng
You never cease to impress me.,eng,spa
I didn't think that we could take that risk.,eng,spa
Los jóvenes hicieron fila para comprar las entradas del show.,spa,spa
I told you you had to go home. Why are you still here?,eng,eng
Those flowers are very beautiful!,eng,spa
Tom burned a hole in his coat.,eng,spa
Él sintió a su corazón latir rápido.,spa,spa
"Cuando te cases y tengas hijos, te darás cuenta de que las acciones hablan más que las palabras.",spa,spa
That is not what he is going to talk about.,eng,spa
I ought to go.,eng,spa
